iter	RMSE
0	3.765787998
1	3.625588774
2	3.503311476
3	3.387983181
4	3.286146691
5	3.204507181
6	3.128899454
7	3.055825327
8	2.994241143
9	2.944267059
10	2.89533596
11	2.851777699
12	2.807611161
13	2.772171788
14	2.738210817
15	2.708599754
16	2.682221211
17	2.657052475
18	2.633747571
19	2.611167436
20	2.59191013
21	2.570720018
22	2.553311773
23	2.535267895
24	2.521278028
25	2.505701078
26	2.493182681
27	2.479381983
28	2.465122188
29	2.451793445
30	2.439262917
31	2.427153571
32	2.414714627
33	2.403051243
34	2.391525918
35	2.381397924
36	2.371624984
37	2.358962814
38	2.348759596
39	2.339072964
40	2.328595727
41	2.319350609
42	2.311916378
43	2.302968227
44	2.294302365
45	2.285157554
46	2.278784556
47	2.27233812
48	2.265520583
49	2.257780894
50	2.250392755
51	2.244685888
52	2.238244728
53	2.233370092
54	2.228333745
55	2.22309336
56	2.216573129
57	2.210564909
58	2.204854933
59	2.199623357
60	2.194607521
61	2.189753293
62	2.185462079
63	2.181172974
64	2.175349705
65	2.17036334
66	2.16602606
67	2.161525937
68	2.156988548
69	2.152970311
70	2.148924255
71	2.145035488
72	2.140525414
73	2.137205505
74	2.133602349
75	2.130299061
76	2.126735791
77	2.123142258
78	2.119673244
79	2.115185971
80	2.112291446
81	2.108084586
82	2.103178629
83	2.099907755
84	2.09760981
85	2.095328306
86	2.091909803
87	2.087183785
88	2.084389207
89	2.081737667
90	2.078820932
91	2.075485665
92	2.072504564
93	2.071670691
94	2.068189967
95	2.065538851
96	2.064819642
97	2.061369019
98	2.056073075
99	2.053804229
100	2.051493469
101	2.049064481
102	2.047715462
103	2.04549271
104	2.042398578
105	2.039359662
106	2.03673447
107	2.034577374
108	2.032131421
109	2.029639033
110	2.029087557
111	2.02854629
112	2.026235479
113	2.025657885
114	2.023966804
115	2.02344937
116	2.021067712
117	2.018103049
118	2.01766692
119	2.014658828
120	2.01424582
121	2.01196763
122	2.010438454
123	2.008594747
124	2.008204122
125	2.007782531
126	2.003332249
127	2.001255916
128	1.999216939
129	1.996016051
130	1.995658507
131	1.993875755
132	1.993497606
133	1.991450873
134	1.989686978
135	1.987570939
136	1.985415793
137	1.982976204
138	1.982637152
139	1.98098691
140	1.978628223
141	1.975085166
142	1.97351611
143	1.971925916
144	1.970092606
145	1.968303447
146	1.966891408
147	1.966617785
148	1.966357939
149	1.964892156
150	1.963980706
151	1.962564681
152	1.960060441
153	1.958590468
154	1.957778859
155	1.957488439
156	1.954934509
157	1.953653338
158	1.951483507
159	1.950052542
160	1.948514238
161	1.946703813
162	1.945404464
163	1.945182746
164	1.944972381
165	1.943375052
166	1.941969858
167	1.940590772
168	1.938898516
169	1.938706803
170	1.937152747
171	1.935836916
172	1.934463381
173	1.933321237
174	1.933139082
175	1.93195215
176	1.931759622
177	1.931291659
178	1.931134408
179	1.930969693
180	1.929826126
181	1.926951619
182	1.924041677
183	1.923071021
184	1.922197576
185	1.921822482
186	1.921286487
187	1.921149729
188	1.920817227
189	1.920132916
190	1.920010004
191	1.919365085
192	1.918874291
193	1.917282434
194	1.916546652
195	1.915479258
196	1.91438833
197	1.913719735
198	1.912695538
199	1.910702998
