iter	Passed	Remaining
0	153	30453
1	154	15289
2	155	10228
3	157	7703
4	158	6193
5	160	5181
6	161	4453
7	162	3911
8	164	3487
9	165	3148
10	167	2878
11	168	2642
12	169	2443
13	171	2272
14	172	2123
15	173	1993
16	174	1878
17	175	1775
18	176	1684
19	177	1601
20	179	1526
21	180	1457
22	181	1397
23	182	1341
24	184	1288
25	185	1239
26	186	1194
27	187	1153
28	189	1114
29	190	1078
30	191	1043
31	192	1010
32	193	980
33	194	951
34	196	924
35	197	899
36	198	875
37	199	851
38	201	830
39	202	808
40	203	788
41	204	769
42	205	750
43	206	732
44	207	715
45	208	699
46	210	683
47	211	668
48	212	654
49	213	640
50	214	627
51	215	614
52	217	602
53	218	590
54	219	578
55	220	567
56	221	556
57	222	545
58	224	535
59	225	525
60	226	516
61	227	507
62	228	497
63	230	488
64	231	480
65	232	471
66	233	463
67	234	455
68	235	447
69	236	439
70	237	432
71	239	425
72	240	418
73	241	410
74	242	404
75	243	398
76	245	391
77	246	385
78	247	379
79	248	372
80	249	366
81	251	361
82	252	356
83	253	350
84	255	345
85	256	339
86	257	334
87	258	329
88	260	324
89	261	319
90	262	314
91	264	310
92	265	305
93	266	300
94	267	295
95	268	290
96	269	286
97	270	281
98	271	277
99	272	272
100	273	268
101	274	263
102	276	259
103	277	255
104	278	251
105	279	247
106	280	243
107	282	240
108	283	236
109	285	233
110	286	229
111	287	225
112	288	221
113	289	218
114	290	214
115	291	211
116	292	207
117	293	204
118	294	200
119	296	197
120	297	194
121	298	191
122	300	187
123	301	184
124	302	181
125	303	178
126	304	175
127	305	171
128	307	169
129	308	165
130	309	162
131	310	159
132	311	156
133	312	153
134	313	151
135	314	148
136	315	145
137	316	142
138	317	139
139	319	136
140	320	134
141	321	131
142	323	128
143	324	126
144	325	123
145	326	120
146	327	118
147	328	115
148	329	112
149	331	110
150	332	107
151	333	105
152	334	102
153	335	100
154	336	97
155	337	95
156	338	92
157	340	90
158	341	87
159	342	85
160	343	83
161	344	80
162	345	78
163	347	76
164	348	73
165	349	71
166	350	69
167	351	66
168	353	64
169	354	62
170	355	60
171	356	58
172	358	55
173	359	53
174	360	51
175	361	49
176	363	47
177	364	45
178	365	42
179	366	40
180	367	38
181	368	36
182	370	34
183	371	32
184	372	30
185	374	28
186	375	26
187	376	24
188	378	22
189	379	19
190	381	17
191	382	15
192	383	13
193	385	11
194	386	9
195	387	7
196	388	5
197	389	3
198	391	1
199	392	0
